parameters,fit_value,mirror,function,dipole_force,Particles,iterations,Inertia,Cognitive,Social,Runtime
"[39.79, 90.0, 49.911, 146.342, -45.0, 13.441, 3.0, 5.0, 1.0, 0.0, 1.0, 0.0]",1.0186478016745262,-1,pencil,True,50,50,0.4,1,2,34.53020589999505
"[-74.54, -90.0, 60.754, 325.924, 17.494, -45.0, 3.05, 5.0, 1.0, 0.0, 4.941, 0.0]",1.0491546175331312,-1,pencil,True,50,50,0.4,1,2,36.71591840000474
"[-40.822, 77.999, 76.515, 139.474, -45.0, -32.701, 3.023, 3.436, 0.227, 0.773, 1.0, 0.0]",1.0024184235493285,-1,pencil,True,50,50,0.4,1,2,34.71013620001031
"[73.738, 90.0, 60.919, 145.641, -18.261, 45.0, 3.0, 5.0, 0.672, 0.328, 1.0, 0.0]",1.0490238572254031,-1,pencil,True,50,50,0.4,1,2,37.777759100019466
"[90.0, 32.314, 72.259, 203.549, -35.53, 45.0, 3.05, 5.0, 0.007, 0.993, 1.0, 0.0]",1.068644955529355,-1,pencil,True,50,50,0.4,1,2,40.396908099995926
"[-4.237, 90.0, 46.33, 146.175, -45.0, -35.407, 3.05, 5.0, 0.928, 0.072, 1.0, 0.0]",1.0282226792191957,-1,pencil,True,50,50,0.4,1,2,42.310992799990345
"[-83.807, 14.199, 100.797, 74.37, -30.031, -44.897, 3.049, 5.0, 0.083, 0.917, 4.293, 0.0]",1.0510194630021987,-1,pencil,True,50,50,0.4,1,2,37.93917729999521
"[-40.148, 78.036, 76.003, 139.373, -45.0, -32.856, 3.05, 3.442, 0.017, 0.983, 1.0, 0.0]",1.0023815764188175,-1,pencil,True,50,50,0.4,1,2,39.282383099984145
"[85.803, 46.007, 5.096, 0.0, -45.0, -45.0, 3.05, 5.0, 1.0, 0.0, 1.0, 0.0]",1.7138204984898922,-1,pencil,True,50,50,0.4,1,2,43.00185909998254
"[-83.384, 15.812, 99.299, 75.688, -29.444, -45.0, 3.05, 4.953, 0.977, 0.023, 5.0, 0.0]",1.0487148728782896,-1,pencil,True,50,50,0.4,1,2,39.71544830000494
"[-77.745, -53.563, 46.347, 0.124, 24.006, -42.078, 3.047, 4.835, 0.615, 0.385, 1.0, 0.0]",1.010773115155751,-1,pencil,True,50,50,0.4,1,2,36.463908099976834
"[37.114, 33.658, 79.578, 183.644, -30.354, 30.007, 3.003, 3.858, 0.0, 1.0, 4.753, 0.0]",0.9923383542570332,-1,pencil,True,50,50,0.4,1,2,39.22754210000858
"[90.0, -49.51, 103.562, 285.439, 31.97, 45.0, 3.0, 5.0, 0.855, 0.145, 4.999, 0.0]",1.0689723092978611,-1,pencil,True,50,50,0.4,1,2,37.98019820000627
"[-23.043, 44.757, 48.722, 152.855, -33.109, 1.441, 3.024, 3.343, 0.785, 0.215, 1.0, 0.0]",2.488036535104362,1,pencil,True,50,50,0.4,1,2,30.119071300025098
"[-81.711, 90.0, 170.513, 196.406, 6.203, 40.616, 3.05, 1.0, 1.0, 0.0, 2.702, 0.0]",1.8388795946556273,1,pencil,True,50,50,0.4,1,2,34.001695699989796
"[15.714, -26.552, 15.986, 0.0, -21.484, -45.0, 3.05, 1.473, 1.0, 0.0, 4.616, 0.0]",1.6035124369429117,1,pencil,True,50,50,0.4,1,2,33.0787876000104
"[-28.759, 90.0, 18.142, 102.688, -40.182, -16.635, 3.0, 1.0, 0.0, 1.0, 2.417, 0.0]",1.765775860175603,1,pencil,True,50,50,0.4,1,2,32.524442299996736
"[-25.988, -8.443, 164.154, 344.617, -45.0, -45.0, 3.0, 1.07, 1.0, 0.0, 1.0, 0.0]",1.5609418686945815,1,pencil,True,50,50,0.4,1,2,33.37035030001425
"[-38.69, -39.891, 85.747, 70.31, 32.607, 30.229, 3.05, 1.0, 0.0, 1.0, 4.113, 0.0]",1.6561420698253755,1,pencil,True,50,50,0.4,1,2,31.45213699998567
"[28.598, -90.0, 173.401, 360.0, 36.628, 5.919, 3.05, 1.0, 1.0, 0.0, 1.0, 0.0]",2.021100176936224,1,pencil,True,50,50,0.4,1,2,31.503228300018236
"[-90.0, -85.34, 9.617, 30.935, 1.176, 45.0, 3.05, 1.015, 0.199, 0.801, 3.719, 0.0]",1.872752290185118,1,pencil,True,50,50,0.4,1,2,32.7112529000151
"[-63.741, -22.294, 11.004, 64.934, -24.37, 28.284, 3.01, 1.0, 0.523, 0.477, 1.0, 0.0]",1.6163623867331938,1,pencil,True,50,50,0.4,1,2,34.18193869999959
"[77.446, 72.448, 0.0, 24.452, -0.213, 5.361, 3.021, 1.348, 0.486, 0.514, 1.734, 0.0]",2.183067842263622,1,pencil,True,50,50,0.4,1,2,34.350482000008924
"[-22.686, 90.0, 19.293, 104.09, -45.0, -15.502, 3.0, 1.0, 1.0, 0.0, 4.728, 0.0]",1.7714370903686885,1,pencil,True,50,50,0.4,1,2,39.8933899999829
"[8.397, -16.151, 88.634, 0.0, -15.05, 4.264, 3.003, 1.296, 0.137, 0.863, 5.0, 0.0]",1.8181676680849024,1,pencil,True,50,50,0.4,1,2,32.905017799988855
"[-28.849, 90.0, 18.116, 103.254, -39.754, -16.375, 3.05, 1.0, 0.0, 1.0, 5.0, 0.0]",1.7703704023970488,1,pencil,True,50,50,0.4,1,2,38.927285500016296
"[-90.0, 75.599, 9.545, 191.661, 1.192, 45.0, 3.05, 1.0, 0.282, 0.718, 1.0, 0.0]",1.8734839864037371,1,pencil,True,50,50,0.4,1,2,37.56013750002603
"[-36.812, -21.083, 85.902, 64.237, 32.123, 15.74, 3.024, 1.0, 0.733, 0.267, 2.244, 0.0]",1.663918027212098,1,pencil,True,50,50,0.4,1,2,36.45891300000949
"[59.112, -22.882, 73.358, 249.679, -13.586, 45.0, 3.0, 5.0, 1.0, 0.0, 1.0, 0.0]",2.4946104347468685,1,pencil,True,50,50,0.4,1,2,66.06261319998885
"[56.001, -59.628, 84.095, 232.125, -45.0, 45.0, 3.05, 1.0, 1.0, 0.0, 1.925, 0.0]",1.6679510420698322,1,pencil,True,50,50,0.4,1,2,35.85762850000174
"[-22.858, -4.172, 22.488, 122.017, -45.0, 45.0, 3.0, 1.161, 0.471, 0.529, 4.913, 0.0]",1.4558852860272262,1,pencil,True,50,50,0.4,1,2,35.98107550002169
"[-63.827, 12.246, 174.404, 49.988, -27.843, -8.003, 3.0, 1.0, 0.143, 0.857, 5.0, 0.0]",1.490959926923362,1,pencil,True,50,50,0.4,1,2,34.717138900014106
"[-90.0, 90.0, 10.772, 96.254, 4.918, -45.0, 3.05, 1.0, 0.783, 0.217, 5.0, 0.0]",1.7814322497402793,1,pencil,True,50,50,0.4,1,2,39.03428269998403
"[-25.693, -2.289, 21.071, 117.438, -45.0, 45.0, 3.05, 1.0, 0.024, 0.976, 1.002, 0.0]",1.4924519688952733,1,pencil,True,50,50,0.4,1,2,54.41467290002038
"[90.0, -90.0, 180.0, 0.0, 2.089, 45.0, 3.05, 1.0, 0.0, 1.0, 1.092, 0.0]",2.18461025738773,1,pencil,True,50,50,0.4,1,2,35.50575400001253
"[-41.666, -34.421, 51.751, 360.0, 29.679, -45.0, 3.0, 5.0, 1.0, 0.0, 5.0, 0.0]",2.5059959459917907,1,pencil,True,50,50,0.4,1,2,37.00018510001246
"[-90.0, 12.781, 98.711, 15.446, -45.0, -45.0, 3.0, 1.926, 0.0, 1.0, 1.0, 0.0]",2.4002912600196056,1,pencil,True,50,50,0.4,1,2,35.649858899996616
"[13.612, -25.859, 16.217, 6.127, -25.962, -45.0, 3.0, 1.476, 0.0, 1.0, 4.38, 0.0]",1.5963435710985663,1,pencil,True,50,50,0.4,1,2,36.71698229998583
"[-40.104, 90.0, 12.128, 187.626, 33.519, 10.77, 3.05, 1.0, 0.0, 1.0, 1.0, 0.0]",1.7144777733951706,1,pencil,True,50,50,0.4,1,2,37.55480670000543
"[33.411, 55.131, 135.687, 249.367, 33.969, 24.172, 3.0, 3.924, 1.0, 0.0, 2.219, 0.0]",2.531515242981701,1,pencil,True,50,50,0.4,1,2,34.63833899999736
"[-68.741, 11.201, 171.867, 25.352, -22.389, -45.0, 3.0, 1.0, 0.803, 0.197, 5.0, 0.0]",1.5481035739223745,1,pencil,True,50,50,0.4,1,2,35.444037999986904
"[-90.0, -6.254, 10.772, 0.0, 4.918, -45.0, 3.05, 1.0, 1.0, 0.0, 5.0, 0.0]",1.7814322497404702,1,pencil,True,50,50,0.4,1,2,39.429873800021596
"[-90.0, 90.0, 9.598, 206.269, 1.207, 45.0, 3.05, 1.015, 0.0, 1.0, 1.718, 0.0]",1.8727472964910656,1,pencil,True,50,50,0.4,1,2,39.03052510000998
"[-90.0, -90.0, 10.873, 276.057, 4.98, -45.0, 3.05, 1.024, 1.0, 0.0, 1.0, 0.0]",1.7796920207353681,1,pencil,True,50,50,0.4,1,2,45.68105579999974
"[-13.421, 25.681, 16.756, 186.968, 27.708, 45.0, 3.0, 1.462, 0.231, 0.769, 5.0, 0.0]",1.5960464493015498,1,pencil,True,50,50,0.4,1,2,36.627683500002604
"[-62.171, 20.28, 88.986, 0.0, 45.0, -35.44, 3.0, 1.208, 0.574, 0.426, 5.0, 0.0]",2.071720054089353,1,pencil,True,50,50,0.4,1,2,37.76160850000451
"[40.21, 90.0, 167.864, 187.637, 33.444, -10.814, 3.05, 1.0, 0.128, 0.872, 5.0, 0.0]",1.7144810638785948,1,pencil,True,50,50,0.4,1,2,36.014569799997844
"[-30.428, -6.258, 163.858, 0.0, -45.0, -45.0, 3.0, 1.0, 0.779, 0.221, 1.0, 0.0]",1.5814195200965848,1,pencil,True,50,50,0.4,1,2,36.99174610001501
"[90.0, -83.415, 10.769, 269.648, -4.917, 45.0, 3.05, 1.0, 0.005, 0.995, 1.0, 0.0]",1.7814323846166475,1,pencil,True,50,50,0.4,1,2,38.03527490000124
"[-29.574, -85.806, 6.321, 360.0, 36.249, -9.439, 3.0, 1.0, 0.972, 0.028, 1.0, 0.0]",2.026706183909253,1,pencil,True,50,50,0.4,1,2,33.796374300000025
"[11.299, 37.42, 165.241, 99.062, -45.0, 45.0, 3.0, 1.0, 0.231, 0.769, 5.0, 0.0]",1.5668485016547185,1,pencil,True,50,50,0.4,1,2,36.6475202999718
